,Ast 1,Ast 2,Ast 3,NPs,GABAs,GluNs 1,GluNs 2,GluNs 3,GluNs 4,GluNs 5,Pro Ast,Pro GABAs,VLMCs 1,VLMCs 2,VEs 1,VEs 2,Peri 1,Peri 2,Fib,PCs
Ast 1,55.2992081234657,37.4079807399963,47.0220125934715,36.2047403644241,42.5977256541225,60.0448911028213,71.4380659125245,58.3119866092395,63.9534949845186,45.8670726070432,26.7579637477224,39.8322894234501,137.860800243017,91.5117932935339,114.246166406469,93.0848355051365,71.2737594864635,69.9598331526342,85.0193187803053,112.58389249855
Ast 2,69.2219980081675,57.751432385455,72.2726300595018,56.4050599342466,55.8423608017235,69.3200259346734,90.3544874233874,71.3870004089999,80.1495767222088,61.364032034205,43.4360586316057,52.6043181606367,201.417030296044,154.744236088017,199.874053285975,149.106016220837,106.340858047152,118.808027679831,131.476430209833,177.939313343758
Ast 3,57.7033296368376,53.8001472298023,65.7510321760339,53.0733598422535,66.0561104996169,71.8541079002536,86.6649494592025,70.2882508080231,69.725037296447,58.3531147310365,39.206316964849,55.6083825508738,164.809362241004,121.368871485068,184.094423571046,130.201910907917,116.474673827343,105.221679058871,117.432656179425,163.000978741909
NPs,50.6456448422702,38.2725084735232,58.4703222418583,44.4412416558975,51.7888134739474,77.5184803401174,83.2099861122186,70.9662950360877,74.6294362175467,50.4030785231247,33.5863180600264,47.2169206477842,128.369501782679,89.6179395057759,142.129473052378,102.813717432101,76.6735396447161,76.9677003729849,85.932334331706,125.680276259648
GABAs,41.6656603244282,43.974937618825,42.5031970947189,35.6453010827471,47.6362897976542,59.871796499254,81.1600686023161,74.896714725646,67.5950978296155,52.295806631636,32.1720755352476,43.2311443624652,128.274626865048,88.8208289523414,120.474206802932,85.1675615815197,82.7680014533707,77.3363651429277,83.2199108902161,107.53130120216
GluNs 1,59.9564585311904,52.2377098076266,44.4354216731669,33.6021299570045,47.6361362546764,125.336741640882,132.78999324342,86.6787473299618,92.4257156619589,63.4139270100244,34.3518912562194,30.963045636316,143.297437387839,101.088538463389,110.614717440101,96.1790047663037,72.4228215187281,86.5028106788449,83.0451838374661,108.193194453093
GluNs 2,47.5311300502841,42.854290332764,34.0380244690188,28.7121354067077,46.9099910637696,128.558342751802,138.571850896273,112.955135152518,95.056240067849,66.5076210023224,29.4955739988912,37.5075362616781,110.529585176936,77.9910272025349,105.244410047355,77.386490646294,72.9229986055177,86.4094948861592,71.7405009490768,104.753201479508
GluNs 3,30.6784058366033,33.3415743894888,33.4192941465762,27.2527743996661,41.2297462783755,98.4327880520249,112.293985230384,101.728928216564,90.569708373143,59.3258687043414,25.5849189493374,36.5351141220977,89.9976438461503,65.3762130920465,87.0383286055602,66.8783724463278,67.8651349636022,78.2098205358918,58.0107725696172,90.4415009685167
GluNs 4,44.9010786100459,36.4402922646958,31.1573934092823,33.0905381426621,36.7241511236841,66.6098106476446,89.5843819904364,83.2043883621993,79.0059608518947,59.6178846075647,34.3687952766866,39.0535009478725,86.2206302979492,63.1475157768815,74.4059579113159,59.269303169182,61.7969860708572,54.7835316891871,62.3399089833426,72.9320333486144
GluNs 5,36.7425611073882,37.5386791354877,41.4235760499691,29.0936402689811,37.932865562392,92.1777234269553,111.883582142558,95.8824137318875,90.3414449774015,70.9727674330907,29.1184208839438,36.4021184013638,117.850979063302,88.5578245129848,103.344388519956,78.5519419948506,77.1534736302202,78.9446144794581,71.0027707996123,99.5584053886556
Pro Ast,65.859739691742,47.6526143622806,70.7479088771199,51.059366332322,56.7240055654241,60.6469138018553,78.7147352219375,66.5894778575335,71.8305591467675,55.9169755752583,39.6510151724244,56.5403929145191,140.520852688637,97.1570983765746,157.103914213135,110.662429329676,93.0600910356118,90.2273265537736,94.9722346000167,139.564955800551
Pro GABAs,47.1906648595678,37.1795584580892,25.2765004099172,35.1330247795958,35.4994044169206,32.4812444350256,55.7343920247335,45.5746704419724,45.4625307924912,28.578093374515,27.6847319411952,37.8610519407712,93.3573497579397,65.6335432597289,74.9353186424288,56.1353082199008,70.6152510321109,55.7772249230721,64.3955471460762,81.7432560319984
VLMCs 1,189.656929444128,145.157059631394,165.086174962292,161.006254590725,149.783784236417,119.5819740022,192.978802134316,154.757341773337,174.288997681335,152.0628987042,146.283242061146,142.942139506016,357.785276807192,220.026266291135,375.925985419782,299.039723201261,219.26079896099,220.125489744587,236.637087828206,306.845260140941
VLMCs 2,140.813970287873,119.5549801923,115.922434321676,108.978627042846,115.907688686,91.4910188988977,140.803691060655,120.697904111916,132.000914571992,108.526128732316,93.0418205256438,95.7781209377006,272.289257134245,185.028674905756,293.073786541257,222.439911168891,220.472617595328,189.43367230425,206.074536491063,261.179374089975
VEs 1,137.690514896701,127.616977732766,119.060637418314,112.387666154348,105.147699430175,78.6391135355559,139.817183234441,103.419180589422,128.057335932076,95.5237172778422,107.766895034752,112.665806377318,255.849424483235,200.498732799801,445.689544192235,361.414015211318,234.289945437704,203.498018474028,193.767176575714,261.748869420351
VEs 2,101.295228321493,75.8024810589771,75.5280026423062,74.5987879884734,62.3604477113413,56.9330653346521,94.3628068726384,64.2155531210264,81.9782859144377,56.9311619553254,64.1923342082055,74.4685202644956,228.897954323435,160.630761344737,330.14329001543,297.456329591708,160.566002295938,136.571503336295,172.834558775258,227.36732949965
Peri 1,111.571358853267,100.709339198381,101.017806690099,89.6028051689877,88.8186932529603,75.7459482372432,116.309017186624,88.7388088602483,105.271708845734,84.629765077365,76.0869406947205,81.0416085713414,236.652606355517,186.065342649837,289.389227291295,224.159016026788,219.882202113014,184.061165249691,204.374890382965,267.542373836374
Peri 2,77.2223468087278,62.7007397247748,59.6257554709012,57.6725910640899,59.6374127442436,66.137281711967,81.2937687379326,53.1390030339034,69.0740959375265,54.8464203662307,47.5556021567408,52.8432431085727,155.26094149949,111.121373702993,165.076123482435,130.627152870001,142.492965207059,120.464963674374,121.688399608015,156.133246557736
Fib,172.349982547562,150.44212089537,139.819155917218,136.495588814185,139.169578807191,111.930350424298,182.533184909341,135.938212391255,155.219300704972,134.788089172839,120.396437738473,125.349320998012,348.011060200033,241.874285682507,387.518111961524,310.966184217306,246.558698445325,220.171047802449,242.103108534147,309.929881715567
PCs,160.376722984086,134.287010228615,156.084265565544,125.110021956537,127.59063690839,109.978049366209,169.181581871817,136.595846502897,156.649007486765,121.921368396868,110.282087373154,110.794338399947,355.277933902246,252.825244173931,401.293196334938,319.15702411866,284.053002033791,269.182673628479,264.540852820725,368.011835824067
