,Ast 1,Ast 2,Ast 3,Ast 4,NPs 1,NPs 2,GABAs,GluNs 1,GluNs 2,GluNs 3,GluNs 4,GluNs 5,Pro Ast,VLMCs 1,VLMCs 2,VLMCs 3,VEs 1,Venous ECs 1,Venous ECs 2,Brain VEs,Peri,SMCs,Fib,PCs
Ast 1,54.0592773172296,115.444689062868,38.5055012717663,86.27274477716,36.5818171959218,23.1806612091545,22.3745205923646,83.8010236186582,58.2210002558078,35.5210310794921,67.0054733142291,19.9742441296472,50.3695692110168,129.174385158781,131.002027814309,131.599944527036,55.4644895093576,54.0786206248106,45.2846774769712,43.8308011528422,87.4009314001373,150.656302548897,95.5783516031867,84.0109412563578
Ast 2,137.708471441563,242.698051932609,107.217484520903,214.12834768633,109.45290217626,55.3154033840777,61.8310724312034,94.251377256579,70.806837540522,77.5535227250109,102.408051854249,45.4282372041362,138.065345792793,229.931710661522,226.942105238494,252.963537917042,107.76570232806,93.1657639812831,90.5479749631482,98.5529051017522,159.458574877395,211.566101707507,172.892279973301,137.992081313289
Ast 3,71.4524519483421,124.556996300996,53.8329512733593,110.311078414466,42.4287458328761,26.8661073024095,23.5921894269946,50.5964827391367,40.5305515940024,34.0028417159092,53.9959480886597,23.0831358967715,67.0610597230798,148.232891152431,138.491900380092,140.585467514176,60.064411933511,55.0018307951817,55.2996915654522,59.8374856905063,91.6683363103739,142.321990302986,98.7467173020948,82.997294835081
Ast 4,112.337124673163,199.052765784585,87.8755498189143,173.025478925048,82.1375668027401,49.4048797047462,43.3646256718452,90.7503987232967,64.4539868492826,57.9171105399776,103.479385110331,39.2801103157689,112.105175760762,213.865420575461,205.405826531511,209.366974569425,103.689509899614,94.6084404167206,88.5395074360149,91.5021458619028,152.266184268493,208.441614243979,158.683252531749,126.550486389253
NPs 1,97.9468789708824,158.031047925326,76.1720523313999,148.404960361474,57.5632851146883,39.8936276579268,32.8934717249788,53.9469722658967,46.6557966111271,48.4830767751717,59.2252717649817,21.7045676846012,97.0242703924964,168.111287013951,140.644775169456,157.784837766681,59.3650524190556,52.8267146851157,50.280333506352,65.1413586235485,107.855773392146,150.66178550692,115.683072438005,87.2825194607116
NPs 2,59.4709767560436,97.4791795141053,51.6039526689332,88.9403606016549,38.2265343648533,30.0158671618028,20.2099806342602,46.5670385671339,38.1726850209409,28.4347084063969,40.4134326025421,23.0517421803122,61.1949927058585,135.180273285435,109.408671326755,116.278434194661,57.0753516253293,57.5991917210754,52.7641233334837,60.6206289857521,88.9378085235116,116.809467073192,88.6644220004425,71.3929057416952
GABAs,38.4087722699753,63.9120979439039,38.2717206605745,55.7689088250281,19.2538964652561,18.8880109839839,25.8598470034485,41.5982681544348,37.4521400012982,27.6984411898716,39.6118625910682,22.2223267022138,39.4926213810987,71.4535751661143,60.1243131499968,47.6793605351968,30.6120404306194,33.7886126581865,27.9376608566708,32.8627538951477,50.9029756480124,66.7149865177114,51.3953056369891,37.9771689076442
GluNs 1,76.3052137356686,141.715799150091,51.1686971493971,112.495704171316,47.2024139855028,28.0929323045757,35.3702564172887,117.419074200775,86.3556396286198,47.5552772194401,71.1724665988049,24.4978525561907,70.3698588487705,128.930790038327,126.357698615795,103.995434426267,69.024370545177,66.5620316879246,53.0189686703951,50.0979325824276,83.3091210161072,127.118762269996,83.4771124837278,69.2687862923682
GluNs 2,62.4524430450228,105.438496479094,45.3685336391697,90.9934586822032,34.9359425762289,28.6644006559869,36.7792947558653,82.6704176875654,68.2945980647376,39.9334314673522,57.7108130876077,27.4516781208091,56.9001416090237,123.280742096614,111.180770326703,97.7822765101885,54.1456690843046,56.8075025896134,42.0976079763151,51.8217792564298,80.297406132372,108.391492257224,80.8037762709471,64.3978578109125
GluNs 3,67.6494862253713,88.7976953969277,53.0136502312741,86.1980710856769,31.4465123934847,25.5272038705401,33.5344539283991,60.5821392796579,57.7747889663186,41.5358256028363,55.5979597209172,32.5789431966676,64.844785065938,112.46319700879,99.6386899283541,85.0703103467835,45.5375930651031,48.8571643657131,41.9083381595376,51.0533481457305,73.8714272232168,110.715628433981,76.4374918948236,61.1836925523449
