,Ast 1,Ast 2,Ast 3,NPs,GABAs,GluNs 1,GluNs 2,GluNs 3,GluNs 4,GluNs 5,Pro Ast,Pro GABAs,VLMCs 1,VLMCs 2,VEs 1,VEs 3,Peri 1,Peri 2,SMCs,Fib,PCs
Ast 1,51.5220403852604,46.2497362263572,47.2112607042759,40.6789382747076,48.1339405969827,59.9056267912399,76.7874952517839,59.447762283979,62.8577535882008,57.1865170584371,28.1282692538939,38.6844290787019,138.944309762186,92.8908917271323,109.833373626412,30.293787501293,73.4883253742321,67.0491418570394,101.049648257038,96.9436166852034,117.043341118773
Ast 2,70.6307899050779,62.727863753103,68.4263849518327,56.7195654901604,64.3331721632133,68.2266843644653,93.1002291813155,68.554276552134,74.798654835109,71.5038325166332,43.6287601708073,56.0982106149905,175.473622781497,130.252960201846,168.547194656672,53.8452133693225,90.4164863729925,90.737107874152,149.520721802917,119.298579592877,146.747143283483
Ast 3,58.4178676319424,54.9878651204521,60.6827584454393,49.9533434648694,74.694613328851,76.9411163792042,96.7066057269367,73.0567319305235,71.2772737221002,67.3716411280663,36.940061297752,59.780489877788,160.024708427964,120.054907802181,168.769881461616,49.411655279215,109.874807583231,101.149031688476,139.495328780859,114.768133283115,156.169405972505
NPs,48.0036776385504,40.6023053408862,55.1989595503479,41.0654489650349,58.3591445249785,70.4481679291842,86.6928537474953,70.2118178244912,70.8167048723363,64.7244881172436,30.44146948088,42.5002677423619,127.897806184593,95.5143252730392,129.178161786832,33.3964263571134,70.4862305487949,68.4767109254475,101.598016498724,85.6359188101022,116.59472084759
GABAs,35.6965230590078,45.7513895991175,33.460565454071,29.773017709575,49.6409692697019,68.6561027599672,86.0100772583787,75.866287069003,66.812200500452,68.3677305943432,25.3704674252637,39.5952721763369,88.8340977010973,71.2539685195227,85.9051861554729,33.9778970627759,71.0582055880469,70.8852273422998,83.1214124068355,70.3120481572908,90.7149487219827
GluNs 1,49.8845038684145,46.9768320955533,41.1107837043777,36.3203396324893,60.2393529195113,138.650661840594,143.8599671097,97.6665195740552,97.8653367204544,75.2601829738865,33.2537640834913,30.5165387958095,123.945992235259,89.0805922231256,105.741163662631,25.8458470943145,62.9579746322724,73.4545347629305,118.909147899633,69.5434673157395,101.03114961404
GluNs 2,39.782121277788,40.2824944276841,31.8190324780772,28.7623636733867,60.2922595290435,123.579699097405,143.861622900355,115.331133845961,100.495144620189,79.8311762457144,26.0278348175466,32.8528573650738,99.7546190649725,73.6409904067078,96.2039271677434,33.6511413993198,73.0759219135288,84.8997745961324,117.222542655408,62.6765980751225,103.9003302333
GluNs 3,24.9763779933356,34.049930164692,29.4563621996434,24.8423448651568,47.8012489253527,86.0911510333278,103.248058566028,91.3850705638441,83.6278190017411,78.3777830315103,23.3327769781923,29.2713185297425,81.9015414578916,62.5140172518286,77.2764462806812,30.4955698861691,64.8709348552211,71.871758888644,79.616907064886,57.2444510745992,84.902021857296
GluNs 4,41.2539806656048,43.5789497569772,28.775852869159,33.7634996567201,41.2398188227372,55.3507608649974,77.1515294327861,72.3208345058182,68.2466571960771,59.1892972511609,25.1863030155435,34.6285131149289,87.5838569471163,61.1076017121548,74.7524139401562,22.1377346770471,62.7466232374574,55.2245600172494,68.5419612480966,62.4732157790539,71.9468098857966
GluNs 5,39.6773736667523,45.8937498358198,30.4390796024204,32.31111985066,44.6483047250493,62.7705329021498,82.8130259534222,61.8884907670812,61.8533346189193,57.5129500297972,24.2610844408262,38.0755328364947,95.6749825351508,68.7472450951233,80.8175757666925,27.0958213716084,62.1095251396053,58.2133524540794,77.7616588034712,63.0586719992119,80.2947912153169
